,Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
2203,Tomato,403,38.1,13.5,23.0,2.4,36.0,560,284,704
2204,Water,195,10.3,19.6,17.4,5.2,2.6,136,46,980
2205,Chips,497,33.1,87.3,2.4,5.4,29.1,548,249,617
2206,Orange,286,5.1,11.7,36.9,3.5,48.9,807,133,208
2207,Quinoa,277,19.6,67.6,36.4,4.9,19.6,304,42,904
2208,Spinach,318,2.7,42.9,27.7,2.5,45.2,60,67,799
2209,Milk,98,15.9,14.0,2.7,5.6,37.1,956,109,952
2210,Apple,137,5.4,9.0,36.6,9.5,24.0,640,126,199
2211,Popcorn,326,23.0,92.0,9.8,6.0,10.7,518,296,952
2212,Pasta,348,11.6,94.7,42.2,3.7,46.8,316,274,699
2213,Chocolate,414,12.4,87.4,26.0,1.1,41.6,664,58,862
2214,Rice,200,21.0,25.3,47.8,5.7,47.7,70,259,612
2215,Apple,487,3.0,42.7,7.7,7.1,3.7,504,289,922
2216,Orange,574,19.6,37.8,6.2,5.4,34.9,956,287,511
2217,Paneer,135,4.0,31.0,23.7,9.8,32.9,427,280,703
2218,Orange,289,16.5,16.7,41.3,3.9,8.5,942,92,751
2219,Eggs,83,9.3,94.2,12.6,2.0,34.2,145,132,735
2220,Green Tea,516,14.5,52.3,17.7,7.1,17.2,254,127,208
2221,Banana,121,38.7,36.6,14.6,0.1,19.4,5,210,713
2222,Grapes,57,48.3,27.0,33.6,9.0,20.5,114,287,456
2223,Cookies,126,40.9,44.8,8.5,4.0,26.6,193,105,753
2224,Strawberry,441,30.2,9.2,14.9,7.0,38.2,347,77,530
2225,Eggs,444,17.2,33.1,39.5,5.1,15.1,481,206,183
2226,Butter,521,41.6,43.3,13.7,7.0,24.7,713,50,727
2227,Oats,341,20.9,90.7,45.6,5.2,43.3,586,214,553
2228,Banana,145,44.4,99.4,38.3,5.8,12.8,765,47,298
2229,Paneer,224,22.6,40.7,9.7,9.6,8.0,756,285,135
2230,Orange Juice,358,9.4,56.5,31.8,2.3,34.7,533,138,713
2231,Cheese,92,8.2,48.1,17.8,3.8,20.5,991,8,827
2232,Coffee,150,22.9,81.9,28.6,3.3,16.4,109,170,174
2233,Tomato,309,42.6,50.6,12.3,4.7,47.5,38,226,655
2234,Orange Juice,580,29.9,48.3,19.0,0.7,20.0,486,158,740
2235,Banana,125,21.4,63.6,6.5,1.3,8.2,490,150,168
2236,Grapes,510,42.5,36.1,39.5,8.3,44.2,153,48,290
2237,Potato,82,48.7,49.2,32.7,4.5,13.2,986,236,236
2238,Chips,354,31.5,76.1,25.6,9.0,34.3,277,185,337
2239,Potato,595,39.8,62.9,29.7,7.3,29.4,661,181,708
2240,Chocolate,346,36.7,50.8,35.0,7.0,6.3,816,184,938
2241,Yogurt,229,4.7,31.1,9.2,9.2,30.3,41,153,200
2242,Yogurt,537,35.8,46.2,28.8,5.4,42.7,251,177,441
2243,Rice,349,34.5,75.7,48.7,1.3,47.5,151,39,780
2244,Chocolate,573,11.3,77.7,5.2,5.6,4.3,9,88,620
2245,Milkshake,193,23.3,6.7,1.9,5.9,11.0,561,55,461
2246,Orange,146,23.4,38.6,13.1,7.6,33.3,286,245,727
2247,Orange Juice,244,41.9,86.1,13.0,6.3,43.6,233,44,308
2248,Bread,486,9.1,52.7,10.3,4.3,25.3,250,0,960
2249,Paneer,53,28.8,5.2,28.5,7.1,26.4,476,190,146
2250,Orange Juice,549,32.9,47.5,25.5,3.5,23.3,789,63,479
2251,Milk,388,43.2,20.1,31.4,4.0,17.4,573,163,939
2252,Oats,82,8.4,5.1,11.0,7.7,0.6,444,206,828
2253,Salmon,51,13.5,82.3,40.8,3.7,9.8,374,207,311
2254,Apple,223,28.1,19.9,49.8,9.0,31.4,990,297,695
2255,Spinach,265,27.6,63.9,14.9,9.9,39.4,727,297,439
2256,Tomato,114,26.2,9.0,20.4,5.9,49.6,280,249,809
2257,Green Tea,555,46.0,98.3,27.5,1.7,24.4,901,220,442
2258,Orange,447,45.8,91.3,25.3,1.4,18.3,535,236,629
2259,Carrot,144,15.4,70.0,25.5,1.0,44.9,822,30,358
2260,Popcorn,149,23.3,92.7,14.1,4.1,49.1,82,109,490
2261,Chips,575,9.8,88.7,28.3,4.2,49.3,826,277,880
2262,Salmon,160,11.7,92.2,13.9,3.3,20.5,197,40,537
2263,Quinoa,548,45.3,55.0,24.3,0.3,35.6,280,135,389
2264,Spinach,280,20.1,67.4,18.5,2.6,22.1,9,0,497
2265,Green Tea,101,9.6,50.2,1.0,7.3,7.6,570,187,300
2266,Popcorn,578,10.1,35.2,28.1,0.4,49.2,380,145,159
2267,Spinach,426,23.9,31.7,39.0,0.6,11.3,146,123,994
2268,Cookies,107,31.7,35.1,13.1,7.4,45.4,914,176,887
2269,Rice,70,24.5,53.3,43.1,1.5,12.0,515,75,495
2270,Banana,397,2.5,66.2,36.5,8.5,10.0,684,238,933
2271,Oats,415,8.2,53.1,45.1,5.0,17.9,945,141,929
2272,Banana,269,2.5,78.1,9.5,6.5,41.4,286,260,817
2273,Grapes,495,28.5,80.3,49.1,9.2,27.9,258,91,648
2274,Milk,230,11.8,95.0,32.8,7.4,10.7,975,168,458
2275,Tomato,98,18.3,59.4,31.6,6.1,14.5,238,249,809
2276,Eggs,188,26.5,42.2,23.3,4.7,40.8,716,131,733
2277,Banana,496,32.6,94.7,46.6,9.4,15.2,306,89,131
2278,Strawberry,146,35.2,56.5,5.1,9.2,16.0,95,92,395
2279,Yogurt,445,24.6,32.6,46.4,3.6,8.3,284,223,638
2280,Eggs,76,40.0,22.6,11.2,7.1,43.1,210,268,493
2281,Eggs,588,35.8,11.8,12.7,2.4,31.0,215,251,368
2282,Rice,563,32.8,53.7,14.6,3.8,29.4,976,9,589
2283,Chips,475,47.2,70.1,10.1,5.7,27.5,811,81,415
2284,Pork Chop,211,13.7,52.8,44.6,3.8,30.4,284,156,934
2285,Orange Juice,546,46.9,57.1,35.9,9.5,10.9,786,231,462
2286,Milkshake,527,13.7,77.4,40.8,6.3,48.7,318,114,411
2287,Quinoa,550,27.1,14.0,24.2,0.6,33.4,904,117,206
2288,Paneer,417,12.7,62.9,26.9,5.9,0.2,136,104,345
2289,Chicken Breast,515,25.3,78.0,4.7,3.4,25.0,686,139,304
2290,Quinoa,265,3.5,60.3,36.8,1.5,40.6,685,208,168
2291,Grapes,428,49.0,49.5,20.2,3.5,1.6,774,132,406
2292,Coffee,529,37.1,69.9,18.0,9.1,24.9,711,82,733
2293,Butter,183,44.4,80.2,12.6,2.5,18.3,844,286,500
2294,Bread,87,33.8,95.7,11.5,5.6,5.6,164,257,614
2295,Orange Juice,326,17.3,77.9,19.2,0.8,1.5,130,91,665
2296,Bread,502,20.8,97.5,29.3,0.9,11.3,905,40,272
2297,Butter,377,33.0,91.0,46.6,7.7,31.3,115,296,991
2298,Coffee,246,43.0,68.0,18.2,7.6,10.1,509,281,923
2299,Pasta,375,28.3,12.6,23.3,9.5,2.4,389,52,733
2300,Bread,394,2.0,85.5,21.7,1.0,44.4,426,241,128
2301,Quinoa,598,37.3,26.1,3.1,3.2,0.1,267,172,757
2302,Broccoli,267,4.9,74.6,49.0,2.9,3.6,445,35,618
2303,Popcorn,496,15.5,12.5,19.3,3.5,2.7,739,232,382
2304,Chicken Breast,65,21.7,87.9,15.5,1.5,23.6,57,114,396
2305,Spinach,82,13.7,30.8,22.9,2.6,23.3,914,64,358
2306,Chips,532,15.4,43.5,1.9,7.3,32.8,842,121,141
2307,Cookies,422,4.1,39.4,2.0,8.9,15.2,262,143,110
2308,Bread,208,4.0,15.1,25.5,1.2,10.3,142,283,645
2309,Apple,452,21.8,26.7,6.5,0.4,11.4,130,51,244
2310,Tomato,558,33.0,84.0,13.6,0.3,20.2,564,120,937
2311,Salmon,212,43.9,63.5,1.3,3.0,28.0,508,26,122
2312,Cheese,436,21.0,32.1,34.2,6.8,33.6,211,298,382
2313,Chicken Breast,331,29.8,77.8,31.6,7.2,49.9,16,125,692
2314,Broccoli,498,34.9,83.9,2.8,3.6,43.0,635,77,256
2315,Banana,332,30.9,38.7,31.3,6.3,36.3,323,141,175
2316,Orange,158,16.8,15.8,3.6,3.5,15.4,288,300,953
2317,Chicken Breast,152,17.7,52.5,32.5,0.8,19.7,126,195,129
2318,Strawberry,114,20.3,9.7,2.4,4.8,34.7,623,89,941
2319,Chicken Breast,441,10.0,54.0,29.6,6.1,35.2,607,33,603
2320,Yogurt,419,46.9,91.7,9.5,5.9,6.8,921,18,979
2321,Broccoli,150,29.8,33.5,12.0,2.9,10.4,886,282,351
2322,Apple,522,34.3,85.7,15.5,8.7,16.8,665,40,256
2323,Water,337,42.0,79.2,38.8,5.8,2.8,285,130,119
2324,Orange Juice,414,26.7,51.9,19.4,9.3,30.1,984,77,861
2325,Chips,147,22.3,45.2,3.5,4.4,49.5,610,159,193
2326,Milk,348,38.9,37.1,13.0,0.1,28.7,763,86,306
2327,Strawberry,545,26.0,21.8,39.7,1.8,16.7,16,132,204
2328,Chocolate,339,1.2,93.0,16.1,8.2,28.7,639,300,755
2329,Green Tea,466,7.8,74.3,31.6,2.4,28.2,623,61,530
2330,Cookies,259,47.3,88.4,42.9,5.3,44.9,22,78,231
2331,Cheese,394,25.7,13.5,29.1,0.6,10.6,970,88,491
2332,Chips,459,10.4,97.4,41.7,0.9,47.1,997,176,475
2333,Banana,271,9.8,81.9,48.3,6.9,35.4,860,80,725
2334,Milkshake,426,16.9,53.3,13.2,4.0,34.0,69,11,824
2335,Apple,84,47.6,46.7,2.2,9.1,9.9,997,124,691
2336,Beef Steak,584,33.2,27.0,2.3,1.6,33.5,660,118,303
2337,Popcorn,183,43.7,79.6,7.5,8.1,1.0,115,300,852
2338,Chicken Breast,385,25.8,8.9,49.5,9.8,25.6,982,95,725
2339,Butter,344,9.5,24.4,12.4,9.1,1.7,674,162,502
2340,Broccoli,576,10.9,83.8,40.9,9.3,13.1,72,94,972
2341,Tomato,545,25.5,19.8,8.7,6.3,28.1,25,140,750
2342,Chocolate,142,25.2,99.4,35.1,7.0,32.2,900,163,362
2343,Beef Steak,495,41.8,54.1,27.4,4.8,36.6,718,172,179
2344,Bread,280,48.4,48.9,2.8,5.5,38.4,578,17,755
2345,Paneer,482,41.2,69.4,43.2,7.7,11.1,290,32,688
2346,Milk,574,43.2,27.4,44.4,2.1,7.2,345,76,527
2347,Cookies,207,1.9,84.4,34.9,3.2,44.6,5,110,810
2348,Orange Juice,215,33.2,86.7,32.9,8.0,23.1,507,262,218
2349,Broccoli,137,11.9,45.0,8.2,7.4,27.4,430,186,108
2350,Green Tea,113,42.4,32.3,29.2,1.5,4.5,638,6,335
2351,Spinach,83,25.3,84.5,39.1,5.8,45.2,584,180,374
2352,Pasta,180,44.1,88.0,24.0,6.7,2.6,200,151,157
2353,Quinoa,546,47.0,27.1,10.9,3.6,5.8,523,44,883
2354,Chips,238,50.0,43.4,8.4,0.9,34.8,423,256,412
2355,Popcorn,600,27.1,58.4,35.9,5.3,40.3,213,117,810
2356,Nuts,517,3.7,67.2,36.4,0.5,49.1,907,205,710
2357,Eggs,227,11.8,18.1,13.5,9.1,42.4,339,14,999
2358,Oats,366,12.5,60.0,41.2,0.9,49.0,66,168,622
2359,Chocolate,394,23.5,41.2,19.9,6.7,35.8,45,151,825
2360,Eggs,117,49.7,58.8,14.9,4.7,40.6,17,223,736
2361,Potato,170,39.5,54.0,28.3,4.4,21.2,307,88,419
2362,Banana,316,13.0,20.1,17.2,5.5,43.2,381,84,990
2363,Banana,183,14.8,6.1,39.9,1.5,14.8,330,207,816
2364,Potato,208,25.3,84.6,48.0,7.2,46.2,403,199,723
2365,Orange Juice,247,23.7,53.1,18.1,0.4,20.8,408,99,129
2366,Apple,521,16.2,52.5,42.4,1.0,46.7,692,275,810
2367,Paneer,535,17.8,91.8,26.1,1.2,26.6,878,25,558
2368,Pasta,502,40.8,64.8,30.3,0.1,26.2,112,95,382
2369,Chocolate,108,44.5,81.6,42.9,8.6,1.6,385,153,580
2370,Spinach,484,31.2,10.6,28.3,5.9,12.7,450,83,751
2371,Chicken Breast,399,5.6,70.9,29.2,7.4,16.2,119,101,802
2372,Apple,98,41.9,63.2,8.4,4.0,42.8,730,209,783
2373,Orange Juice,239,47.7,55.5,11.5,2.1,20.1,315,42,926
2374,Yogurt,417,1.1,99.8,21.8,8.0,6.2,172,109,354
2375,Rice,592,31.4,10.6,16.7,4.0,6.5,499,201,787
2376,Yogurt,117,26.0,10.3,47.7,9.2,21.4,52,98,680
2377,Nuts,436,8.6,78.4,37.9,6.3,41.0,510,147,126
2378,Cookies,317,31.5,17.2,8.3,3.3,11.2,460,152,506
2379,Salmon,548,43.0,55.8,48.7,4.7,3.9,784,225,128
2380,Paneer,112,23.5,82.4,11.3,1.1,21.5,546,154,377
2381,Cookies,449,3.0,68.9,47.7,1.7,37.3,841,286,503
2382,Milk,374,40.7,87.5,49.8,1.2,10.4,766,13,306
2383,Banana,317,24.5,12.4,31.0,6.0,0.9,617,167,915
2384,Chicken Breast,257,1.2,57.7,14.5,7.2,7.4,853,33,416
2385,Chicken Breast,504,40.4,16.4,25.9,3.7,43.4,726,24,680
2386,Popcorn,505,9.8,35.8,8.0,2.8,14.0,725,99,979
2387,Cookies,179,34.2,43.0,16.0,8.7,46.7,747,64,419
2388,Chips,330,38.2,41.0,18.3,0.4,35.4,569,69,897
2389,Cookies,115,41.7,9.6,24.6,5.1,41.6,734,157,272
2390,Bread,109,34.1,62.1,14.4,5.9,21.0,362,180,780
2391,Tomato,195,22.9,62.8,47.9,4.4,14.4,789,64,988
2392,Orange Juice,463,33.0,78.2,36.4,8.5,38.4,20,3,254
2393,Cheese,96,48.2,15.3,43.4,7.6,37.5,243,182,829
2394,Chips,525,40.0,36.0,5.2,2.7,23.0,120,161,999
2395,Carrot,545,21.7,80.1,5.4,6.1,15.6,750,55,229
2396,Bread,180,47.8,57.1,35.4,6.6,42.2,446,296,482
2397,Quinoa,212,2.8,62.1,37.7,9.0,37.2,342,182,305
2398,Cookies,443,43.0,19.4,28.2,8.6,40.7,387,195,711
2399,Salmon,306,22.7,97.4,11.3,2.2,1.3,357,48,684
2400,Grapes,357,36.2,28.2,22.7,0.5,37.0,437,293,746
2401,Pork Chop,251,22.9,50.1,17.0,0.6,38.3,839,143,247
2402,Cheese,186,46.7,30.4,23.5,8.9,5.6,884,149,531
2403,Cookies,367,3.1,30.6,8.5,0.8,21.5,846,161,298
2404,Eggs,132,48.8,41.9,37.1,6.5,39.9,363,17,699
2405,Banana,369,25.7,31.8,19.8,4.0,28.2,154,160,321
2406,Yogurt,376,9.3,45.3,27.7,9.0,5.6,445,140,706
2407,Popcorn,358,16.0,11.9,49.2,5.4,33.8,703,55,495
2408,Oats,331,13.5,23.4,15.5,6.8,44.7,517,235,997
2409,Yogurt,92,28.5,35.9,48.1,4.0,36.6,168,261,638
2410,Potato,353,22.0,61.5,38.4,2.8,21.6,325,211,636
2411,Grapes,392,25.2,56.0,15.3,0.2,2.9,25,283,432
2412,Spinach,444,18.7,86.0,25.6,4.0,27.6,476,267,611
2413,Green Tea,71,20.0,40.9,15.4,4.2,18.1,168,262,439
2414,Potato,464,5.6,11.3,32.5,4.6,30.2,751,64,331
2415,Chocolate,592,6.0,46.3,7.3,3.7,42.5,670,297,187
2416,Coffee,80,1.2,84.8,10.8,4.7,9.7,486,98,977
2417,Yogurt,108,34.2,78.0,41.0,2.6,30.3,737,18,372
2418,Milk,358,31.5,42.0,13.9,2.3,39.6,362,222,916
2419,Quinoa,237,23.2,34.5,24.3,6.9,45.4,488,9,504
2420,Pork Chop,296,45.1,28.9,28.9,3.8,18.8,797,176,547
2421,Chips,535,13.0,65.6,4.5,4.9,33.7,537,61,537
2422,Orange,410,20.4,13.8,23.2,3.7,46.1,99,275,353
2423,Quinoa,221,8.9,34.3,19.1,9.5,16.1,579,44,826
2424,Butter,489,28.0,26.7,44.9,1.7,13.5,157,44,540
2425,Strawberry,172,22.8,93.8,24.4,7.6,19.2,608,224,525
2426,Chips,429,34.7,95.0,18.3,3.8,31.9,164,197,669
2427,Water,560,32.6,61.5,18.9,7.7,26.4,574,169,242
2428,Oats,170,44.5,66.0,4.5,4.4,10.7,774,225,883
2429,Cheese,149,16.2,53.3,18.5,7.2,1.4,373,205,325
2430,Beef Steak,88,14.3,53.0,23.1,3.3,40.1,853,103,236
2431,Strawberry,476,46.1,69.9,19.6,4.0,46.3,442,131,311
2432,Oats,258,8.5,88.1,11.5,6.1,48.0,146,125,767
2433,Beef Steak,272,44.7,33.2,45.9,7.2,16.9,541,82,201
2434,Butter,585,34.1,89.5,8.2,7.5,15.5,192,76,1000
2435,Orange,303,41.8,12.0,37.7,7.6,40.3,208,34,536
2436,Popcorn,480,7.3,35.0,26.4,4.7,34.0,484,0,922
2437,Green Tea,119,21.5,79.6,25.9,3.9,37.9,576,94,222
2438,Milk,219,12.1,17.1,22.7,8.9,36.8,949,231,953
2439,Yogurt,336,49.2,99.3,18.4,1.6,37.1,328,110,567
2440,Milk,193,29.9,53.8,24.4,9.8,34.8,886,184,435
2441,Nuts,447,45.1,88.5,5.2,6.7,0.3,269,165,609
2442,Yogurt,596,40.8,97.0,19.8,5.8,19.4,971,293,807
2443,Quinoa,523,24.1,39.8,10.1,6.9,35.1,933,67,944
2444,Coffee,187,21.4,7.4,24.6,2.8,18.2,714,236,954
2445,Milk,325,13.6,79.3,28.8,2.9,27.5,137,285,352
2446,Broccoli,149,34.4,51.5,40.6,1.1,43.5,419,210,593
2447,Milkshake,528,49.4,34.2,41.0,4.3,45.1,891,293,492
2448,Chips,52,19.3,7.2,44.2,3.1,17.0,825,7,218
2449,Strawberry,251,5.8,80.9,18.9,8.7,21.6,760,160,205
2450,Pork Chop,358,43.5,73.1,8.9,9.4,42.9,30,87,165
2451,Salmon,313,25.4,63.2,27.2,3.9,43.9,266,143,391
2452,Spinach,186,39.6,38.1,2.1,1.4,8.2,771,117,107
2453,Oats,73,13.3,85.4,19.0,5.4,45.6,478,205,683
2454,Strawberry,399,9.8,26.1,41.5,6.0,40.6,722,138,509
2455,Rice,413,4.6,58.6,43.3,5.7,5.5,19,207,814
2456,Salmon,581,25.1,62.3,12.8,8.3,42.6,962,148,681
2457,Nuts,495,26.4,66.4,10.3,2.7,17.1,613,276,109
2458,Milk,187,38.1,61.4,30.5,8.5,40.8,559,20,412
2459,Cookies,355,32.4,20.9,25.2,3.4,13.5,977,17,675
2460,Tomato,555,31.4,75.4,7.8,9.6,13.3,239,101,448
2461,Potato,326,12.2,65.4,13.6,3.4,36.9,431,222,755
2462,Milkshake,376,11.8,44.1,37.9,0.6,41.2,792,114,269
2463,Orange,579,19.6,30.1,18.8,4.7,39.5,382,205,318
2464,Grapes,206,19.9,92.9,22.9,9.9,25.9,660,21,640
2465,Broccoli,163,36.7,37.4,3.9,2.5,29.9,826,181,464
2466,Cheese,558,6.5,87.9,45.3,5.2,20.2,137,254,773
2467,Chocolate,156,39.4,24.1,28.4,3.9,7.5,858,66,974
2468,Potato,283,34.9,98.5,40.2,6.6,31.8,647,92,221
2469,Cookies,490,45.6,18.4,43.7,4.6,37.0,836,261,668
2470,Beef Steak,260,5.7,34.6,45.5,3.8,37.6,690,77,509
2471,Rice,441,43.1,59.1,18.6,6.1,16.2,256,25,602
2472,Tomato,70,47.7,45.6,43.4,4.4,33.8,87,244,921
2473,Butter,109,12.9,22.3,47.9,4.5,15.7,687,128,692
2474,Spinach,307,3.4,32.9,37.0,9.6,41.9,564,65,191
2475,Grapes,561,8.2,72.1,36.1,8.4,11.4,681,36,111
2476,Pork Chop,54,32.7,91.4,49.2,6.8,36.5,598,213,507
2477,Pork Chop,491,19.5,58.8,42.6,5.9,7.4,889,214,987
2478,Chocolate,598,31.4,45.7,47.2,3.1,21.0,73,214,762
2479,Broccoli,458,13.1,35.1,31.2,8.7,1.6,174,166,438
2480,Broccoli,89,33.4,85.4,13.8,9.4,49.4,205,183,767
2481,Popcorn,184,42.2,26.4,40.7,4.6,43.5,330,212,613
2482,Green Tea,237,20.7,51.6,39.5,6.6,1.5,111,38,139
2483,Orange Juice,453,28.9,16.2,2.5,6.4,8.2,89,236,651
2484,Milkshake,364,22.2,90.4,46.5,4.0,2.2,788,1,461
2485,Carrot,509,19.7,24.6,42.1,4.6,46.1,28,22,893
2486,Milkshake,301,17.5,90.1,32.4,5.6,5.0,920,251,596
2487,Coffee,527,47.8,18.2,38.5,6.2,15.8,877,78,795
2488,Paneer,444,28.2,59.9,5.3,8.9,8.7,449,30,896
2489,Orange Juice,513,12.2,93.0,17.9,8.8,26.2,885,52,546
2490,Apple,508,2.6,77.5,5.4,0.4,16.4,148,45,206
2491,Chicken Breast,504,13.5,68.1,7.7,8.7,4.6,217,212,765
2492,Quinoa,217,32.8,54.2,13.6,7.3,33.3,162,264,857
2493,Quinoa,266,36.7,32.8,8.0,1.0,30.5,582,237,484
2494,Rice,227,6.2,17.0,29.2,6.4,7.2,208,109,992
2495,Spinach,203,18.3,45.8,35.4,8.9,26.3,105,70,954
2496,Butter,461,26.8,62.8,43.7,5.0,3.8,518,73,150
2497,Milkshake,552,27.0,95.7,36.7,1.5,40.3,241,86,906
2498,Banana,440,46.0,18.8,6.6,4.4,32.1,428,81,683
2499,Nuts,170,20.7,57.7,36.9,6.0,15.2,602,207,371
2500,Green Tea,573,10.1,97.1,7.5,1.2,1.2,499,155,586
2501,Paneer,95,31.7,22.4,39.5,8.7,0.5,233,258,817
2502,Coffee,113,42.7,98.3,16.8,0.3,2.6,145,161,497
2503,Tomato,236,1.2,34.7,40.0,8.6,13.7,342,198,552
2504,Eggs,248,4.4,75.7,38.3,3.5,4.3,28,202,667
2505,Chips,362,5.8,65.7,26.6,8.0,33.8,893,290,800
2506,Yogurt,161,38.3,53.6,4.8,9.3,25.6,348,116,482
2507,Paneer,385,47.0,46.1,37.0,2.0,1.7,501,281,516
2508,Oats,472,3.6,71.1,11.5,1.3,21.8,123,69,205
2509,Broccoli,263,29.9,22.2,43.6,9.9,49.5,464,98,710
2510,Nuts,590,10.9,69.9,32.3,9.4,22.0,359,166,131
2511,Orange,546,10.1,82.7,4.9,3.1,44.3,978,92,235
2512,Pork Chop,507,13.5,84.7,17.0,8.1,37.5,958,35,722
2513,Cheese,392,19.9,54.9,36.6,3.7,42.4,660,26,902
2514,Coffee,463,42.3,20.1,25.2,2.6,15.3,423,218,266
2515,Tomato,571,8.8,71.1,5.8,2.5,7.0,352,145,967
2516,Butter,478,27.5,26.5,12.5,4.8,37.5,921,258,715
2517,Strawberry,253,23.8,98.7,14.9,5.7,13.6,402,206,454
2518,Chocolate,137,4.9,10.7,2.5,2.8,9.8,863,64,108
2519,Oats,181,36.1,86.2,37.0,4.4,1.7,89,274,461
2520,Bread,406,5.7,59.6,17.6,6.7,33.2,611,164,556
2521,Broccoli,87,24.3,58.0,24.7,6.1,22.7,538,114,426
2522,Nuts,390,10.1,54.4,45.5,9.1,28.5,792,258,364
2523,Rice,284,42.5,94.0,15.6,6.7,0.7,756,225,879
2524,Apple,461,15.3,99.2,11.7,5.7,49.4,904,141,475
2525,Oats,162,2.0,75.1,16.6,3.8,20.5,67,104,568
2526,Popcorn,196,44.6,85.8,26.8,6.1,38.9,781,13,950
2527,Paneer,363,25.2,94.1,47.7,4.5,5.6,534,134,577
2528,Nuts,349,3.9,97.6,2.4,9.1,49.1,323,222,850
2529,Coffee,420,23.7,20.2,19.6,3.4,49.8,399,169,101
2530,Spinach,233,10.7,32.6,38.9,6.1,24.7,191,47,688
2531,Milk,212,17.9,73.3,12.4,6.4,11.1,74,73,950
2532,Orange,507,6.8,40.8,27.3,2.8,31.0,90,270,618
2533,Pork Chop,579,27.7,33.3,42.6,2.0,9.3,289,116,767
2534,Bread,218,3.2,75.3,40.7,9.1,29.6,342,177,239
2535,Strawberry,455,36.6,98.6,14.9,3.9,47.4,388,1,357
2536,Cookies,223,40.6,13.1,15.0,3.0,27.4,176,123,632
2537,Rice,547,31.2,26.0,41.3,2.5,17.7,538,1,124
2538,Popcorn,389,22.8,77.0,2.4,0.7,48.3,131,249,344
2539,Chips,240,26.3,48.2,21.8,9.1,14.0,151,155,690
2540,Orange Juice,535,23.4,7.7,23.2,9.5,10.4,737,23,429
2541,Orange Juice,449,32.0,14.8,8.2,1.3,10.8,603,3,579
2542,Oats,558,3.1,32.3,2.7,7.8,5.6,960,72,737
2543,Yogurt,120,17.1,90.9,25.3,1.3,32.7,823,218,239
2544,Spinach,59,45.7,21.9,19.9,8.4,9.5,817,93,294
2545,Oats,571,20.3,83.7,10.0,0.8,27.1,812,286,717
2546,Oats,483,22.2,99.3,3.9,6.4,25.8,92,45,986
2547,Cookies,231,21.7,16.1,30.2,7.0,13.1,865,292,668
2548,Popcorn,53,18.9,20.3,42.0,3.9,31.7,13,259,857
2549,Cheese,400,34.1,38.9,11.7,8.1,36.8,265,165,832
2550,Rice,181,42.4,25.5,17.8,1.4,9.1,592,180,889
2551,Apple,93,23.5,65.2,34.3,4.4,48.2,867,254,999
2552,Cookies,475,48.9,64.9,32.9,3.0,43.8,539,224,608
2553,Grapes,362,46.7,19.3,40.1,9.3,17.5,213,223,993
2554,Cheese,75,37.5,44.7,10.2,4.9,3.6,43,29,506
2555,Milkshake,421,43.2,6.0,26.1,8.5,4.9,273,292,628
2556,Orange Juice,457,49.5,68.9,34.0,5.1,12.7,47,229,572
2557,Cheese,367,9.1,29.8,43.2,2.9,14.2,230,155,421
2558,Eggs,232,45.3,77.5,48.9,7.9,5.0,825,290,361
2559,Chips,71,31.5,35.5,34.7,7.2,2.6,807,252,737
2560,Eggs,264,1.6,64.4,28.6,7.6,45.8,431,126,176
2561,Grapes,499,32.3,39.5,44.1,2.7,46.1,878,204,772
2562,Chicken Breast,395,23.4,60.7,34.2,1.4,38.9,434,191,254
2563,Orange Juice,339,17.8,72.0,24.7,9.0,5.7,884,108,660
2564,Cheese,218,33.5,6.6,14.1,9.0,27.2,457,263,893
2565,Tomato,175,5.2,84.0,37.0,3.6,6.9,338,184,707
2566,Nuts,241,18.7,67.7,11.8,1.0,8.8,212,63,229
2567,Rice,554,9.4,65.4,27.7,2.6,13.3,284,231,638
2568,Broccoli,158,19.4,62.3,12.7,5.7,41.5,703,158,610
2569,Orange,146,30.3,95.4,38.8,5.0,27.0,849,167,295
2570,Water,465,21.7,29.8,18.5,8.3,27.9,587,19,435
2571,Water,421,6.7,95.5,40.6,2.0,20.7,24,183,965
2572,Eggs,540,30.1,99.0,38.9,8.0,0.4,308,263,292
2573,Beef Steak,113,2.3,39.7,48.3,2.9,49.3,488,214,746
2574,Orange Juice,238,17.8,10.4,5.1,4.2,33.9,608,185,720
2575,Orange,497,10.7,61.4,18.5,2.5,28.7,802,285,694
2576,Banana,168,33.3,66.1,34.1,5.6,19.5,198,85,461
2577,Eggs,250,19.8,45.0,31.9,0.2,14.5,639,122,192
2578,Grapes,446,22.4,54.7,48.3,1.1,36.5,559,152,623
2579,Pasta,255,15.8,81.0,28.8,3.7,42.5,299,111,477
2580,Grapes,227,36.0,24.1,34.9,2.7,32.5,623,135,247
2581,Cheese,103,9.9,74.4,44.4,6.7,33.6,516,299,313
2582,Cheese,279,3.2,7.6,25.5,1.6,31.4,265,182,864
2583,Paneer,109,49.5,72.5,36.9,5.5,47.5,528,13,752
2584,Grapes,515,3.5,92.3,19.1,0.7,34.0,581,299,411
2585,Pork Chop,80,19.5,78.7,49.3,0.1,5.9,987,227,880
2586,Orange Juice,180,34.9,85.8,16.8,3.8,18.7,171,181,779
